"Input";"Coordinates"
"METRO PENHA";"-23.5335143,-46.54259089999999"
"R HAYDEN";"37.0222915,-76.3493583"
" ERROR! Input:670 M DEPOIS DE  ARCO DA SABESP"
"METRO PENHA";"-23.5335143,-46.54259089999999"
"BERNARDINO BRITO F DE CARVALHO";"-23.5409131,-46.512873300000024"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:MORAVIA OPOSTO"
"R HAYDEN";"37.0222915,-76.3493583"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
" ERROR! Input:670 M DEPOIS DE  ARCO DA SABESP"
" ERROR! Input:OPOSTO AV.MELCHERT"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:MORAVIA OPOSTO"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
"MIRUNA";"42.9909026,-71.47344069999997"
"R HAYDEN";"37.0222915,-76.3493583"
" ERROR! Input:132 M DEPOIS DE CHEDIT JAFET"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"R SAMARITA";"-23.994903,-46.47536389999999"
" ERROR! Input:670 M DEPOIS DE  ARCO DA SABESP"
"PC DA BANDEIRA";"-14.2807635,-38.99496149999999"
"AV NICOLAS BOER";"-23.51772,-46.679440099999965"
" ERROR! Input:OPOSTO AV.MELCHERT"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
"VD PARAISO";"41.95460569999999,-87.65225029999999"
" ERROR! Input:VD MIN ALIOMAR BALEEIRO INICIO"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
"MIRUNA";"42.9909026,-71.47344069999997"
"REGO FREITAS";"-23.5444626,-46.64659360000002"
"R HAYDEN";"37.0222915,-76.3493583"
"JOAQUIM NABUCO";"-8.6232299,-35.529134699999986"
" ERROR! Input:132 M DEPOIS DE CHEDIT JAFET"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"R SAMARITA";"-23.994903,-46.47536389999999"
" ERROR! Input:670 M DEPOIS DE  ARCO DA SABESP"
" ERROR! Input:TERMINO TUNEL"
"PC DA BANDEIRA";"-14.2807635,-38.99496149999999"
"PC OSWALDO CRUZ";"-23.5712591,-46.64422730000001"
"SENA MADUREIRA";"-9.6096717,-69.28775350000001"
"INICIO DA PONTE";"42.4930364,-8.774312699999996"
"AV NICOLAS BOER";"-23.51772,-46.679440099999965"
"GUADALAJARA";"20.6596988,-103.34960920000003"
"BENJAMIM MANSUR";"-23.5767845,-46.72531200000003"
"AV PRES JUSCELINO KUBITSCHEK TERMINO";"-20.8297698,-49.40447219999999"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
"R RIBEIRO DE LIMA";"-23.531499,-46.6363144"
" ERROR! Input:363 M DEPOIS DE MIRUNA"
"PC DA BANDEIRA";"-14.2807635,-38.99496149999999"
"AV CORIFEU DE AZEVEDO MARQUES";"-23.5663021,-46.74382830000002"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
"INDIANOPOLIS";"-19.0346082,-47.915900599999986"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
"MIRUNA";"42.9909026,-71.47344069999997"
"INICIO";"52.479708,-0.9234880000000203"
"REGO FREITAS";"-23.5444626,-46.64659360000002"
"R JOAO TEODORO";"-23.5344793,-46.62457460000002"
"PAULA MOREIRA";"-15.832748,-48.004234999999994"
"R HAYDEN";"37.0222915,-76.3493583"
"JOAQUIM NABUCO";"-8.6232299,-35.529134699999986"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"R STO ANTONIO";"29.4241219,-98.49362819999999"
"R SAMARITA";"-23.994903,-46.47536389999999"
"AV PRES CASTELO BRANCO";"-23.527254,-46.5988481"
"AV PRES CASTELO BRANCO";"-23.527254,-46.5988481"
"QUINTANA";"28.9333037,-95.30827110000001"
"FREGUESIA DO O";"-23.5014967,-46.69770159999996"
" ERROR! Input:670 M DEPOIS DE  ARCO DA SABESP"
" ERROR! Input:1180 M DEPOIS DE PTE FREGUESIA DO O"
"SENA MADUREIRA";"-9.6096717,-69.28775350000001"
"INICIO DA PONTE";"42.4930364,-8.774312699999996"
"GUADALAJARA";"20.6596988,-103.34960920000003"
"BENJAMIM MANSUR";"-23.5767845,-46.72531200000003"
"R DA MOOCA";"-23.5554016,-46.6012159"
" ERROR! Input:PTE TATUAPE INICIO"
"AV PRES JUSCELINO KUBITSCHEK TERMINO";"-20.8297698,-49.40447219999999"
"AMERICO DE MOURA";"-23.5840894,-46.57340579999999"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
"R RIBEIRO DE LIMA";"-23.531499,-46.6363144"
"LOPES DE AZEVEDO R. NORDESTINO";"-22.1268253,-51.3808411"
"JOAO JULIAO DA COSTA AGUIAR";"-23.6174481,-46.661695099999974"
"PC DA BANDEIRA";"-14.2807635,-38.99496149999999"
"AV CORIFEU DE AZEVEDO MARQUES";"-23.5663021,-46.74382830000002"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
"INDIANOPOLIS";"-19.0346082,-47.915900599999986"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"INICIO";"52.479708,-0.9234880000000203"
"REGO FREITAS";"-23.5444626,-46.64659360000002"
"R JOAO TEODORO";"-23.5344793,-46.62457460000002"
" ERROR! Input:421 M DEPOIS DE WILSON"
"PAULA MOREIRA";"-15.832748,-48.004234999999994"
"R HAYDEN";"37.0222915,-76.3493583"
"AV JURITI";"-23.598012,-46.66661399999998"
"JOAQUIM NABUCO";"-8.6232299,-35.529134699999986"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"R STO ANTONIO";"29.4241219,-98.49362819999999"
"R SAMARITA";"-23.994903,-46.47536389999999"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"AV PRES CASTELO BRANCO";"-23.527254,-46.5988481"
"AV PRES CASTELO BRANCO";"-23.527254,-46.5988481"
"FREGUESIA DO O";"-23.5014967,-46.69770159999996"
" ERROR! Input:670 M DEPOIS DE  ARCO DA SABESP"
" ERROR! Input:1180 M DEPOIS DE PTE FREGUESIA DO O"
"SENA MADUREIRA";"-9.6096717,-69.28775350000001"
"INICIO DA PONTE";"42.4930364,-8.774312699999996"
"GUADALAJARA";"20.6596988,-103.34960920000003"
"BENJAMIM MANSUR";"-23.5767845,-46.72531200000003"
"R DA MOOCA";"-23.5554016,-46.6012159"
" ERROR! Input:PTE TATUAPE INICIO"
"AV PRES JUSCELINO KUBITSCHEK TERMINO";"-20.8297698,-49.40447219999999"
"AMERICO DE MOURA";"-23.5840894,-46.57340579999999"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
"R RIBEIRO DE LIMA";"-23.531499,-46.6363144"
"LOPES DE AZEVEDO R. NORDESTINO";"-22.1268253,-51.3808411"
"JOAO JULIAO DA COSTA AGUIAR";"-23.6174481,-46.661695099999974"
"PC DA BANDEIRA";"-14.2807635,-38.99496149999999"
"AV CORIFEU DE AZEVEDO MARQUES";"-23.5663021,-46.74382830000002"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
"TEODORO SAMPAIO";"-22.5314368,-52.17337190000001"
"INDIANOPOLIS";"-19.0346082,-47.915900599999986"
" ERROR! Input:AV VINTE E TRES DE MAIO INICIO"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"REGO FREITAS";"-23.5444626,-46.64659360000002"
"R JOAO TEODORO";"-23.5344793,-46.62457460000002"
"PAULA MOREIRA";"-15.832748,-48.004234999999994"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"R HAYDEN";"37.0222915,-76.3493583"
"AV JURITI";"-23.598012,-46.66661399999998"
"JOAQUIM NABUCO";"-8.6232299,-35.529134699999986"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"R STO ANTONIO";"29.4241219,-98.49362819999999"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"AV PRES CASTELO BRANCO";"-23.527254,-46.5988481"
"AV PRES CASTELO BRANCO";"-23.527254,-46.5988481"
" ERROR! Input:1180 M DEPOIS DE PTE FREGUESIA DO O"
"R ANGATUBA";"-23.4948382,-48.413792400000034"
"INICIO DA PONTE";"42.4930364,-8.774312699999996"
"ALVARO RAMOS METRO BELEM";"-23.542508,-46.5896568"
"BENJAMIM MANSUR";"-23.5767845,-46.72531200000003"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
"R DA MOOCA";"-23.5554016,-46.6012159"
" ERROR! Input:PTE TATUAPE INICIO"
"AMERICO DE MOURA";"-23.5840894,-46.57340579999999"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
"LOPES DE AZEVEDO R. NORDESTINO";"-22.1268253,-51.3808411"
"AV CORIFEU DE AZEVEDO MARQUES";"-23.5663021,-46.74382830000002"
" ERROR! Input:R COLATINO MARQUES SAIDA  A SENNA I"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
"INDIANOPOLIS";"-19.0346082,-47.915900599999986"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"REGO FREITAS";"-23.5444626,-46.64659360000002"
"PAULA MOREIRA";"-15.832748,-48.004234999999994"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"COCKRANE";"32.3868278,-83.35460979999999"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"R STO ANTONIO";"29.4241219,-98.49362819999999"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:1180 M DEPOIS DE PTE FREGUESIA DO O"
"INICIO DA PONTE";"42.4930364,-8.774312699999996"
"ALVARO RAMOS METRO BELEM";"-23.542508,-46.5896568"
"BENJAMIM MANSUR";"-23.5767845,-46.72531200000003"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
" ERROR! Input:PTE TATUAPE INICIO"
"AMERICO DE MOURA";"-23.5840894,-46.57340579999999"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
"LOPES DE AZEVEDO R. NORDESTINO";"-22.1268253,-51.3808411"
"AV CORIFEU DE AZEVEDO MARQUES";"-23.5663021,-46.74382830000002"
"AV AGUA ESPRAIADA";"-23.6235956,-46.677223200000014"
" ERROR! Input:MOISES MARX INICIO DO ELEVADO"
"INDIANOPOLIS";"-19.0346082,-47.915900599999986"
"JABAQUARA VD";"-23.6520732,-46.64752140000002"
"REGO FREITAS";"-23.5444626,-46.64659360000002"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"COCKRANE";"32.3868278,-83.35460979999999"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"R STO ANTONIO";"29.4241219,-98.49362819999999"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:1290 M DEPOIS DE CASA VERDE"
" ERROR! Input:1180 M DEPOIS DE PTE FREGUESIA DO O"
"INICIO DA PONTE";"42.4930364,-8.774312699999996"
"BENJAMIM MANSUR";"-23.5767845,-46.72531200000003"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
" ERROR! Input:PTE TATUAPE INICIO"
"AMERICO DE MOURA";"-23.5840894,-46.57340579999999"
"Input";"Coordinates"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
" ERROR! Input:PTE DAS BANDEIRAS INICIO DA PTE"
"LOPES DE AZEVEDO R. NORDESTINO";"-22.1268253,-51.3808411"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"COCKRANE";"32.3868278,-83.35460979999999"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE JULIO DE MESQUITA NETO";"-23.5131194,-46.6789086"
"SANTANESIA";"-22.5194298,-43.82008229999997"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
"PC CAMPO DE BAGATELLE";"-23.5135489,-46.629198299999985"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"COCKRANE";"32.3868278,-83.35460979999999"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:70 M DEPOIS DE BANDEIRAS"
"PTE DAS BANDEIRAS";"-23.5190287,-46.6300645"
"SANTANESIA";"-22.5194298,-43.82008229999997"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
"PC CAMPO DE BAGATELLE";"-23.5135489,-46.629198299999985"
"EMBOQUE";"-35.7299187,-71.74645620000001"
" ERROR! Input:VD MIGUEL MOFARREJ INICIO"
"JOAO DIAS TERMINO";"-20.7963628,-49.35579569999999"
"COCKRANE";"32.3868278,-83.35460979999999"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"SANTANESIA";"-22.5194298,-43.82008229999997"
" ERROR! Input:MARIA CAROLINA DESEMB. TUNEL"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"R BRAZELISA ALVES DE CARVALHO";"-23.5128293,-46.65061689999999"
"AV JURITI";"-23.598012,-46.66661399999998"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"R CARD ARCOVERDE";"-21.1853088,-47.8223577"
"VD REPUBLICA ARABE SIRIA VD INDIANOPOLIS";"-23.6078081,-46.6527595"
" ERROR! Input:PTE ARICANDUVA INICIO"
"VINTE E CINCO DE MARCO";"-23.5436527,-46.6325142"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"VD REPUBLICA ARABE SIRIA VD INDIANOPOLIS";"-23.6078081,-46.6527595"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
"VINTE E CINCO DE MARCO";"-23.5436527,-46.6325142"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
" ERROR! Input:350 M DEPOIS DE PTE DA CASA VERDE"
"AV DR ARNALDO";"-23.5525334,-46.67445169999996"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
"VD REPUBLICA ARABE SIRIA VD INDIANOPOLIS";"-23.6078081,-46.6527595"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
"VINTE E CINCO DE MARCO";"-23.5436527,-46.6325142"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"AV SALIM FARAH MALUF";"-23.5557241,-46.57741579999998"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"QUINTANA";"28.9333037,-95.30827110000001"
"PTE DAS BANDEIRAS";"-23.5190287,-46.6300645"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
"VD REPUBLICA ARABE SIRIA VD INDIANOPOLIS";"-23.6078081,-46.6527595"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
" ERROR! Input:ALVORADA PCA CARANANDUBA"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"TRINTA E UM DE MARCO";"-23.2466372,-45.9140711"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"R ALVES PONTUAL";"-23.6417613,-46.70235580000002"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"QUINTANA";"28.9333037,-95.30827110000001"
"PTE DAS BANDEIRAS";"-23.5190287,-46.6300645"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"AV ANTONIO J. DE MOURA ANDRADE";"-23.5861506,-46.66728610000001"
"MAUA";"-23.668163,-46.46170859999995"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
" ERROR! Input:ALVORADA PCA CARANANDUBA"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"TRINTA E UM DE MARCO";"-23.2466372,-45.9140711"
"MARGINAL TIETE";"-23.5179746,-46.649390100000005"
"ROQUETE PINTO";"-23.581273,-46.71171400000003"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"R ALVES PONTUAL";"-23.6417613,-46.70235580000002"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"QUINTANA";"28.9333037,-95.30827110000001"
" ERROR! Input:1190 M DEPOIS DE JULIO DE MESQUITA NETO"
" ERROR! Input:860 M DEPOIS DE R JOSE GOMES FALCAO"
"PTE DAS BANDEIRAS";"-23.5190287,-46.6300645"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
"R ULISSES CRUZ";"-23.5319346,-46.58047620000002"
"QUEIROS";"-21.7973389,-50.24193100000002"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
" ERROR! Input:ALVORADA PCA CARANANDUBA"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"TRINTA E UM DE MARCO";"-23.2466372,-45.9140711"
"MARGINAL TIETE";"-23.5179746,-46.649390100000005"
"ROQUETE PINTO";"-23.581273,-46.71171400000003"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"R ALVES PONTUAL";"-23.6417613,-46.70235580000002"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"QUINTANA";"28.9333037,-95.30827110000001"
" ERROR! Input:1190 M DEPOIS DE JULIO DE MESQUITA NETO"
" ERROR! Input:360 M DEPOIS DE BRAZELISA ALVES DE CARVALHO"
" ERROR! Input:1190 M DEPOIS DE PTE FREGUESIA DO O"
"CORINTHIANS";"39.3341042,-76.74830129999998"
" ERROR! Input:510 M DEPOIS DE R MASSINET SORCINELLI (OPOSTO)"
" ERROR! Input:1190 M DEPOIS DE PTE FREGUESIA DO O"
"PTE DAS BANDEIRAS";"-23.5190287,-46.6300645"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
" ERROR! Input:547 M DEPOIS DE AV DR ARNALDO"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
" ERROR! Input:PTE TATUAPE INICIO"
"QUEIROS";"-21.7973389,-50.24193100000002"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
" ERROR! Input:ALVORADA PCA CARANANDUBA"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"VINTE E CINCO DE MARCO";"-23.5436527,-46.6325142"
"MARGINAL TIETE";"-23.5179746,-46.649390100000005"
"R LEAIS PAULISTANOS";"-23.5783346,-46.60496060000003"
"ROQUETE PINTO";"-23.581273,-46.71171400000003"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"R ALVES PONTUAL";"-23.6417613,-46.70235580000002"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
" ERROR! Input:PC PEROLA BYINGTON"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"QUINTANA";"28.9333037,-95.30827110000001"
" ERROR! Input:1190 M DEPOIS DE JULIO DE MESQUITA NETO"
" ERROR! Input:360 M DEPOIS DE BRAZELISA ALVES DE CARVALHO"
" ERROR! Input:1190 M DEPOIS DE PTE FREGUESIA DO O"
"CORINTHIANS";"39.3341042,-76.74830129999998"
" ERROR! Input:510 M DEPOIS DE R MASSINET SORCINELLI (OPOSTO)"
" ERROR! Input:1190 M DEPOIS DE PTE FREGUESIA DO O"
"PTE DAS BANDEIRAS";"-23.5190287,-46.6300645"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
" ERROR! Input:547 M DEPOIS DE AV DR ARNALDO"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
" ERROR! Input:PTE TATUAPE INICIO"
"QUEIROS";"-21.7973389,-50.24193100000002"
"BANDEIRA PC";"-14.2807635,-38.99496149999999"
" ERROR! Input:296 M DEPOIS DE SAO JOAQUIM"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
"ANGELICA";"42.3067345,-78.01583879999998"
" ERROR! Input:MARGINAL PINHEIROS INICIO"
" ERROR! Input:86 M DEPOIS DE NHAMBIQUARAS"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"R JOAO CARLOS MALLET";"-23.6230837,-46.65314810000001"
" ERROR! Input:R PIAUI OPOSTO"
"VINTE E CINCO DE MARCO";"-23.5436527,-46.6325142"
"MARGINAL TIETE";"-23.5179746,-46.649390100000005"
"R LEAIS PAULISTANOS";"-23.5783346,-46.60496060000003"
"ROQUETE PINTO";"-23.581273,-46.71171400000003"
" ERROR! Input:TN ANHANGABAU"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"R ALVES PONTUAL";"-23.6417613,-46.70235580000002"
"PEROLA BYINGTON";"-23.5563576,-46.63940389999999"
"FRANKLIN ROOSEVELT";"41.7686956,-73.93405910000001"
"AV ALCANTARA MACHADO";"-23.5476643,-46.60231900000002"
" ERROR! Input:PC PEROLA BYINGTON"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"QUINTANA";"28.9333037,-95.30827110000001"
"PTE JULIO DE MESQUITA NETO";"-23.5131194,-46.6789086"
"CORINTHIANS";"39.3341042,-76.74830129999998"
" ERROR! Input:510 M DEPOIS DE R MASSINET SORCINELLI (OPOSTO)"
" ERROR! Input:1190 M DEPOIS DE PTE FREGUESIA DO O"
"PTE DAS BANDEIRAS";"-23.5190287,-46.6300645"
" ERROR! Input:ALIOMAR BALEEIRO TERMINO"
"R ANTONIO DE BARROS";"-23.54304,-46.556652799999995"
"R WANDENKOLK";"-23.5527658,-46.62367219999999"
"AV ALVARO RAMOS";"-23.5473914,-46.58319919999997"
"R DR RICARDO GONCALVES";"-23.538668,-46.61379099999999"
"R CAP ANTONIO ROSA";"-23.5685988,-46.684079699999984"
" ERROR! Input:R DIOGO MOREIRA DESEMB. TUNEL"
" ERROR! Input:PTE TATUAPE INICIO"
"QUEIROS";"-21.7973389,-50.24193100000002"
"BANDEIRA PC";"-14.2807635,-38.99496149999999"
"PEDROSO";"41.0637264,-8.558243700000048"
" ERROR! Input:CV JOAO JORGE SAAD CEBOLINHA"
" ERROR! Input:ALIOMAR BALEEIRO INICIO"
"RODEIO";"-26.9243784,-49.36882650000001"
" ERROR! Input:PTE ARICANDUVA INICIO"
"BROTERO";"40.2056852,-8.40907070000003"
" ERROR! Input:MARGINAL PINHEIROS INICIO"
"AV PEDRO ALVARES CABRAL TERMINO";"-29.6773232,-53.821547899999985"
"CABO VERDE";"16.5388,-23.041799999999967"
"MARGINAL PINHEIROS";"-23.6238635,-46.709925999999996"
"R DR MARIO FERRAZ";"-23.583169,-46.686281199999996"
"AV PAULISTA";"-23.5632103,-46.6542503"
"VINTE E CINCO DE MARCO";"-23.5436527,-46.6325142"
"MARGINAL TIETE";"-23.5179746,-46.649390100000005"
"R LEAIS PAULISTANOS";"-23.5783346,-46.60496060000003"
"ROQUETE PINTO";"-23.581273,-46.71171400000003"
" ERROR! Input:TN ANHANGABAU"
"EMBOQUE";"-35.7299187,-71.74645620000001"
"AV DO ESTADO";"-23.5633195,-46.61104710000001"
"AV JURITI";"-23.598012,-46.66661399999998"
"AV JOAO CARLOS DA SILVA BORGES";"-23.6396515,-46.711727199999984"
"PEROLA BYINGTON";"-23.5563576,-46.63940389999999"
"FRANKLIN ROOSEVELT";"41.7686956,-73.93405910000001"
"GRANDE SAO PAULO";"-23.5505517,-46.63329250000004"
"PTE EUSEBIO MATOSO";"-23.5723105,-46.70106420000002"
"ROBERTO MARINHO";"-23.6138948,-46.69687799999997"
"QUINTANA";"28.9333037,-95.30827110000001"
"PTE FREGUESIA DO O";"-23.5089559,-46.689593100000025"
